time,4bccb9,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1496620800,4bccb9,52.08491564,11.44539356,175.3205566,305.3210449,,SXS2WY  ,False,False,False,1000,7459.98,7581.9,1496620800,1496620800
1496620810,4bccb9,52.09394932,11.42468691,173.1728516,305.2001953,,SXS2WY  ,False,False,False,1000,7368.54,7505.7,1496620810,1496620810
1496620820,4bccb9,52.10274696,11.40436649,171.7033691,305.1177979,,SXS2WY  ,False,False,False,1000,7284.72,7414.26,1496620820,1496620820
1496620830,4bccb9,52.11102962,11.38518333,170.6860352,304.9365234,,SXS2WY  ,False,False,False,1000,7200.9,7330.44,1496620830,1496620830
1496620840,4bccb9,52.12017059,11.36394024,170.0078125,304.8925781,,SXS2WY  ,False,False,False,1000,7117.08,7239,1496620840,1496620840
1496620850,4bccb9,52.12888241,11.34353399,169.2165527,304.8486328,,SXS2WY  ,False,False,False,1000,7025.64,7147.56,1496620850,1496620850
1496620860,4bccb9,52.13800192,11.3224411,169.1277194,305.0919629,-9.7536,SXS2WY  ,False,False,False,1000,6934.2,7063.74,1496620860,1496620860
1496620870,4bccb9,52.14664936,11.30248547,168.425293,305.0518799,,SXS2WY  ,False,False,False,1000,6835.14,6941.82,1496620870,1496620870
1496620880,4bccb9,52.15480328,11.2835598,167.7470703,305.0079346,,SXS2WY  ,False,False,False,1000,6736.08,6858,1496620880,1496620880
1496620890,4bccb9,52.16360092,11.26326084,167.7470703,305.0079346,,SXS2WY  ,False,False,False,1000,6637.02,6751.32,1496620890,1496620890
1496620900,4bccb9,52.17214108,11.24328375,167.407959,304.8596191,,SXS2WY  ,False,False,False,1000,6515.1,6644.64,1496620900,1496620900
1496620910,4bccb9,52.18091726,11.22277021,165.9384766,304.7717285,,SXS2WY  ,False,False,False,1000,6400.8,6507.48,1496620910,1496620910
1496620920,4bccb9,52.18980074,11.2018919,165.2602539,304.7277832,,SXS2WY  ,False,False,False,1000,6286.5,6393.18,1496620920,1496620920
1496620930,4bccb9,52.19728088,11.18431091,164.5820313,304.6838379,,SXS2WY  ,False,False,False,1000,6164.58,6286.5,1496620930,1496620930
1496620940,4bccb9,52.20576525,11.16453409,163.5646973,305.1397705,,SXS2WY  ,False,False,False,1000,6042.66,6164.58,1496620940,1496620940
1496620950,4bccb9,52.2144556,11.14410639,161.5300293,303.4368896,,SXS2WY  ,False,False,False,1000,5935.98,6065.52,1496620950,1496620950
1496620960,4bccb9,52.22177267,11.12297058,158.4780273,297.2296143,,SXS2WY  ,False,False,False,1000,5836.92,5951.22,1496620960,1496620960
1496620970,4bccb9,52.22756624,11.10207081,155.1999512,292.401123,,SXS2WY  ,False,False,False,1000,5760.72,5859.78,1496620970,1496620970
1496620980,4bccb9,52.23202944,11.08237267,153.956543,288.918457,,SXS2WY  ,False,False,False,1000,5669.28,5791.2,1496620980,1496620980
1496620990,4bccb9,52.23632097,11.06110811,152.7131348,288.2537842,,SXS2WY  ,False,False,False,1000,5554.98,5669.28,1496620990,1496620990
1496621000,4bccb9,52.24054813,11.04007959,151.1306152,288.248291,,SXS2WY  ,False,False,False,1000,5455.92,5554.98,1496621000,1496621000
1496621010,4bccb9,52.24501133,11.01810694,150.6784668,288.3087158,,SXS2WY  ,False,False,False,1000,5334,5433.06,1496621010,1496621010
1496621020,4bccb9,52.24936724,10.99662781,150.6784668,288.3087158,,SXS2WY  ,False,False,False,1000,5212.08,5311.14,1496621020,1496621020
1496621030,4bccb9,52.25326538,10.97740173,150.4523926,288.1274414,,SXS2WY  ,False,False,False,1000,5082.54,5181.6,1496621030,1496621030
1496621040,4bccb9,52.25752115,10.95635176,150.3393555,288.5614014,,SXS2WY  ,False,False,False,1000,4960.62,5074.92,1496621040,1496621040
1496621050,4bccb9,52.26200581,10.93521595,148.5307617,289.0008545,,SXS2WY  ,False,False,False,1000,4869.18,4960.62,1496621050,1496621050
1496621060,4bccb9,52.26614714,10.91530323,144.4614258,288.6932373,,SXS2WY  ,False,False,False,1000,4823.46,4914.9,1496621060,1496621060
1496621070,4bccb9,52.27024555,10.89560509,140.0529785,288.6328125,,SXS2WY  ,False,False,False,1000,4770.12,4861.56,1496621070,1496621070
1496621080,4bccb9,52.27401992,10.87717111,137.3400879,288.5723877,,SXS2WY  ,False,False,False,1000,4709.16,4800.6,1496621080,1496621080
1496621090,4bccb9,52.27803469,10.8574748,137.0009766,288.1604004,,SXS2WY  ,False,False,False,1000,4610.1,4709.16,1496621090,1496621090
1496621100,4bccb9,52.2818327,10.83839893,135.8706055,288.0944824,,SXS2WY  ,False,False,False,1000,4526.28,4617.72,1496621100,1496621100
1496621110,4bccb9,52.2856307,10.81932306,135.1923828,287.9516602,,SXS2WY  ,False,False,False,1000,4442.46,4526.28,1496621110,1496621110
1496621120,4bccb9,52.28951454,10.79964638,134.0620117,287.880249,,SXS2WY  ,False,False,False,1000,4358.64,4442.46,1496621120,1496621120
1496621130,4bccb9,52.29287358,10.78268869,134.1750488,288.0889893,,SXS2WY  ,False,False,False,1000,4251.96,4335.78,1496621130,1496621130
1496621140,4bccb9,52.29670286,10.76376915,134.1750488,288.0889893,,SXS2WY  ,False,False,False,1000,4160.52,4244.34,1496621140,1496621140
1496621150,4bccb9,52.30045795,10.74492931,133.6098633,287.946167,,SXS2WY  ,False,False,False,1000,4069.08,4152.9,1496621150,1496621150
1496621160,4bccb9,52.30432034,10.7257247,133.3837891,288.4350586,,SXS2WY  ,False,False,False,1000,3970.02,4053.84,1496621160,1496621160
1496621170,4bccb9,52.30820417,10.70701361,132.9316406,288.5064697,,SXS2WY  ,False,False,False,1000,3878.58,3947.16,1496621170,1496621170
1496621180,4bccb9,52.31163025,10.69038391,132.5925293,288.7866211,,SXS2WY  ,False,False,False,1000,3787.14,3863.34,1496621180,1496621180
1496621190,4bccb9,52.31564999,10.67115784,131.5751953,288.9294434,,SXS2WY  ,False,False,False,1000,3695.7,3794.76,1496621190,1496621190
1496621200,4bccb9,52.3192749,10.65391541,130.4741956,288.8635876,-6.5024,SXS2WY  ,False,False,False,1000,3619.5,3695.7,1496621200,1496621200
1496621210,4bccb9,52.32318163,10.63500166,128.0710449,288.5064697,,SXS2WY  ,False,False,False,1000,3558.54,3642.36,1496621210,1496621210
